fold,R2,RMSE,MAE
1,0.984822739127735,0.029181719074454895,0.01806798227216316
2,0.9845120740776001,0.02911698869823374,0.01790859533251089
3,0.9859487692602227,0.027980495490397245,0.01756048700754911
4,0.98628932370931,0.027501580441562923,0.01730060322046384
5,0.984794562250843,0.028951674820698988,0.017785703691687783
