model,split,R2,RMSE,MAE
Linear,val,0.42822460357788505,0.17823473141105256,0.1422744260808575
Linear,test,0.43343377504597,0.1776810091526489,0.14198420004913875
ExtraTrees,val,0.9649680979776764,0.04411755775944176,0.027724370394404355
ExtraTrees,test,0.9658612860663616,0.04361533874351475,0.02746013653097091
XGBoost,val,0.9837332006523168,0.030062885239292913,0.018858981399585212
XGBoost,test,0.9839076269969245,0.029945096491437805,0.018448222323190037
