pair,rms_second_order_ale,max_ale,max_wave_period,max_partner_value,min_ale,min_wave_period,min_partner_value
wave_period__draft,0.09318640192009184,0.18222710013466772,2.412882709,0.56046045709,-0.2579174473193853,1.4220485982,0.56046045709
wave_period__chamber_width,0.07441963700917872,0.17927248003103416,1.05,0.24339971093,-0.22104694458725996,2.2362984479000003,0.24339971093
wave_period__opening_ratio,0.019565611743988947,0.05182856956466545,1.05,0.0044302740532999995,-0.05024532373879317,2.412882709,0.018611144883000003
